Q1_E&B,Q2_E&B,Q3_E&B,Q4_E&B,Q5_E&B,Q6_E&B,Q7_E&B,Q8_E&B,Q9_E&B,Q10_E&B,Q11_E&B,Q12_E&B,p_c_Q1,p_c_Q2,p_c_Q3,p_c_Q4,p_c_Q5,p_c_Q6,p_c_Q7,p_c_Q8,p_c_Q9,p_c_Q10,p_c_Q11,p_c_Q12
312,318,323,333,341,344,346,351,352,352,352,352,0.8863636363636364,0.9034090909090909,0.9176136363636364,0.9460227272727273,0.96875,0.9772727272727273,0.9829545454545454,0.9971590909090909,1.0,1.0,1.0,1.0
179,180,180,180,180,180,180,180,180,180,180,180,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
255,259,269,273,274,277,281,287,288,296,305,310,0.8225806451612904,0.8354838709677419,0.867741935483871,0.8806451612903226,0.8838709677419355,0.8935483870967742,0.9064516129032258,0.9258064516129032,0.9290322580645162,0.9548387096774194,0.9838709677419355,1.0
354,363,365,375,385,387,395,403,404,406,409,419,0.8448687350835322,0.8663484486873508,0.8711217183770883,0.8949880668257757,0.918854415274463,0.9236276849642004,0.9427207637231504,0.9618138424821002,0.964200477326969,0.9689737470167065,0.9761336515513126,1.0
41,49,53,63,72,75,78,83,93,95,99,106,0.3867924528301887,0.46226415094339623,0.5,0.5943396226415094,0.6792452830188679,0.7075471698113207,0.7358490566037735,0.7830188679245284,0.8773584905660378,0.8962264150943396,0.9339622641509434,1.0
281,285,289,298,300,305,310,320,325,328,330,339,0.8289085545722714,0.8407079646017699,0.8525073746312685,0.8790560471976401,0.8849557522123894,0.8997050147492626,0.9144542772861357,0.943952802359882,0.9587020648967551,0.967551622418879,0.9734513274336283,1.0
247,251,255,256,256,256,256,256,256,256,256,256,0.96484375,0.98046875,0.99609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,70,79,82,90,97,103,109,111,121,129,136,0.47058823529411764,0.5147058823529411,0.5808823529411765,0.6029411764705882,0.6617647058823529,0.7132352941176471,0.7573529411764706,0.8014705882352942,0.8161764705882353,0.8897058823529411,0.9485294117647058,1.0
67,77,84,93,99,105,106,115,124,127,132,142,0.47183098591549294,0.5422535211267606,0.5915492957746479,0.6549295774647887,0.6971830985915493,0.7394366197183099,0.7464788732394366,0.8098591549295775,0.8732394366197183,0.8943661971830986,0.9295774647887324,1.0
223,228,232,242,244,252,254,263,265,275,280,286,0.7797202797202797,0.7972027972027972,0.8111888111888111,0.8461538461538461,0.8531468531468531,0.8811188811188811,0.8881118881118881,0.9195804195804196,0.9265734265734266,0.9615384615384616,0.9790209790209791,1.0
10,17,19,23,30,36,41,49,59,62,70,71,0.14084507042253522,0.23943661971830985,0.2676056338028169,0.323943661971831,0.4225352112676056,0.5070422535211268,0.5774647887323944,0.6901408450704225,0.8309859154929577,0.8732394366197183,0.9859154929577465,1.0
193,196,201,202,209,219,220,221,229,232,237,237,0.8143459915611815,0.8270042194092827,0.8481012658227848,0.8523206751054853,0.8818565400843882,0.9240506329113924,0.9282700421940928,0.9324894514767933,0.9662447257383966,0.9789029535864979,1.0,1.0
